dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ETTh1,continuous_segment,0.1,96,coifnet,iTransformer,none,0.4071551407796048,0.016164754992898246,0.41557215189662683,0.006478219102559182,0.9149769916390317,3
ETTh1,continuous_segment,0.1,96,crib,iTransformer,none,0.45523695254810975,0.028887542276967982,0.4417009366692932,0.013279742772131117,1.1077604673637877,6
ETTh1,continuous_segment,0.1,96,misstsm,iTransformer,none,0.5049662853200446,0.03301713841253722,0.5120479726384743,0.025986487613952086,1.1077604673637877,6
ETTh1,continuous_segment,0.1,96,saits,DLinear,none,0.41286645445689546,0.0029216859844262157,0.4248696943837536,0.0007279010275708462,0.6760496657187892,3
ETTh1,continuous_segment,0.1,96,saits,PatchTST,none,0.39640958526047454,0.004073325836917879,0.4117713614575953,0.002311045773801975,0.3054475578244827,3
ETTh1,continuous_segment,0.1,96,saits,iTransformer,none,0.4083892606461854,0.011004712890576017,0.42288183342689956,0.007953830438164628,0.8230480968925425,3
ETTh1,continuous_segment,0.1,96,simple,DLinear,linear,0.4140843328496498,0.002150773759045395,0.41967214611673836,0.0006328614105544829,1.073517349367724,3
ETTh1,continuous_segment,0.1,96,simple,PatchTST,linear,0.39911180988605116,0.004405615809649735,0.41479146981724435,0.0024849915030076466,1.073517349367724,3
ETTh1,continuous_segment,0.1,96,simple,iTransformer,linear,0.41363373599603176,0.0031743045673093715,0.4230156258542262,0.0021309319891232564,1.0735173493677237,6
ETTh1,continuous_segment,0.1,336,coifnet,iTransformer,none,0.520075485514283,0.02524200979370766,0.47894718942098863,0.013807439861513318,0.9768195840214777,3
ETTh1,continuous_segment,0.1,336,crib,iTransformer,none,0.5704714087465658,0.028527764793835158,0.5137364419363805,0.014302982125240666,1.08058228294445,3
ETTh1,continuous_segment,0.1,336,misstsm,iTransformer,none,0.662832126729849,0.03511691606866115,0.6039776234355095,0.021247603220990414,1.08058228294445,3
ETTh1,continuous_segment,0.1,336,saits,DLinear,none,0.5435251981664032,0.01243307504330306,0.5063954272766713,0.008605147885473998,1.9720625466120032,3
ETTh1,continuous_segment,0.1,336,saits,PatchTST,none,0.5216095902518502,0.011469214556410994,0.48234249856945105,0.007104898164425329,2.095803872853537,3
ETTh1,continuous_segment,0.1,336,saits,iTransformer,none,0.5262948447766457,0.03587164204353175,0.4952675830014172,0.02175098125385524,1.0431171516694504,3
ETTh1,continuous_segment,0.1,336,simple,DLinear,linear,0.5094220183296928,0.005267709434504768,0.47943981622822074,0.005961058530645372,1.0245460305092144,3
ETTh1,continuous_segment,0.1,336,simple,PatchTST,linear,0.48797297574526044,0.0039964656016429085,0.46568277042990974,0.0023712310610248264,1.024546030509214,3
ETTh1,continuous_segment,0.1,336,simple,iTransformer,linear,0.5132643499168291,0.01316101690557667,0.4763214983187553,0.008656474099259622,1.0245460305092144,3
ETTh1,continuous_segment,0.3,96,coifnet,iTransformer,none,0.41841187022318743,0.013378023369476076,0.41969981338362866,0.007481695019811487,0.9530501972640937,3
ETTh1,continuous_segment,0.3,96,crib,iTransformer,none,0.451912453754586,0.013838938614503873,0.44235252711246426,0.005805400989976612,1.1198344782931158,6
ETTh1,continuous_segment,0.3,96,misstsm,iTransformer,none,0.539507780012294,0.026285422029210755,0.5314592389415511,0.017837700546863122,1.1198344782931158,9
ETTh1,continuous_segment,0.3,96,saits,DLinear,none,0.46650282459513,0.017927594618359625,0.469291566871441,0.015916453283621682,0.7736485676127661,3
ETTh1,continuous_segment,0.3,96,saits,PatchTST,none,0.43126416376862675,0.026947994090428678,0.43673218619959003,0.009863409553088214,1.0138119850292096,3
ETTh1,continuous_segment,0.3,96,saits,iTransformer,none,0.42303095094320087,0.006191114165577709,0.44043857657502755,0.004321519582582578,0.787651683184146,3
ETTh1,continuous_segment,0.3,96,simple,DLinear,linear,0.4510572256512588,0.0030241107203117837,0.44089277592838205,0.002309810791041297,1.0645473408081942,3
ETTh1,continuous_segment,0.3,96,simple,PatchTST,linear,0.4150649236248754,0.0023183470353367206,0.4242523072687614,0.0006547273568676652,1.0645473408081945,3
ETTh1,continuous_segment,0.3,96,simple,iTransformer,linear,0.4372579919728314,0.002425149567738588,0.4353987191302701,0.0016739754441011398,1.0645473408081945,6
ETTh1,continuous_segment,0.3,336,coifnet,iTransformer,none,0.5137898168457671,0.011678795823623432,0.4721675235770775,0.004573237152317229,0.9655798297187591,3
ETTh1,continuous_segment,0.3,336,crib,iTransformer,none,0.5379809127887558,0.012319695171683393,0.4920312423056532,0.0033200004574128338,1.0936985086130018,3
ETTh1,continuous_segment,0.3,336,misstsm,iTransformer,none,0.6931026804736025,0.06499541101788538,0.617841713086561,0.04590625543951748,1.0936985086130018,3
ETTh1,continuous_segment,0.3,336,saits,DLinear,none,0.633206908595117,0.02204657226084449,0.5718091152818201,0.013410579186376392,1.3238291087303586,3
ETTh1,continuous_segment,0.3,336,saits,PatchTST,none,0.5961002905695127,0.02118493572832202,0.5425132475417661,0.01621745367638037,0.6833816462353154,3
ETTh1,continuous_segment,0.3,336,saits,iTransformer,none,0.5842292911801841,0.03668427890339465,0.5389885504572081,0.025943738839808536,1.2267714793649311,3
ETTh1,continuous_segment,0.3,336,simple,DLinear,linear,0.538859894358417,0.004456990601500521,0.4967744417571522,0.005597924772709209,1.0177082495199128,3
ETTh1,continuous_segment,0.3,336,simple,PatchTST,linear,0.5143686864137181,0.00777843904224502,0.4769791189017605,0.00259317167896896,1.0177082495199128,3
ETTh1,continuous_segment,0.3,336,simple,iTransformer,linear,0.5326310986541968,0.013104924900268688,0.4862867635141109,0.007674808484616814,1.0177082495199128,3
ETTh1,mixed,0.3,96,misstsm,iTransformer,none,0.6803461553235742,0.044065975440215094,0.6064286411842995,0.025828603853419632,1.1211744593974717,3
ETTh1,none,0.0,96,baseline,DLinear,none,0.3889598687989208,0.002315457215523465,0.4041861268483829,0.0032989256740160087,0.0,3
ETTh1,none,0.0,96,baseline,PatchTST,none,0.39050747545303377,0.002889073919710871,0.4064299805802118,0.002105831230745826,0.0,3
ETTh1,none,0.0,96,baseline,iTransformer,none,0.3948645648950592,0.005721595557911349,0.41268945562489945,0.004031660361749318,0.0,3
ETTh1,none,0.0,336,baseline,DLinear,none,0.4896934791569938,0.0038895857567988355,0.46763992059753856,0.005110541363593711,0.0,3
ETTh1,none,0.0,336,baseline,PatchTST,none,0.48730257892421286,0.018758516066581604,0.4629263817288162,0.008284163919591216,0.0,3
ETTh1,none,0.0,336,baseline,iTransformer,none,0.48279105050936977,0.007706192446062925,0.45935917412758503,0.0035926741328755046,0.0,3
ETTh1,random_point,0.1,96,coifnet,iTransformer,none,0.40248506455846633,0.007633731126179949,0.4152556694994994,0.00598504794869533,0.9071505013231315,3
ETTh1,random_point,0.1,96,crib,iTransformer,none,0.4379453934787063,0.0167204191173927,0.44114190593656133,0.007372282975406378,1.1213514786933725,6
ETTh1,random_point,0.1,96,misstsm,iTransformer,none,0.4985719191821159,0.02903830594518221,0.5084807185339114,0.017874554510604122,1.1213514786933725,6
ETTh1,random_point,0.1,96,saits,DLinear,none,0.4245782200837835,0.0065712942698566874,0.4359551322025,0.005015526578229351,0.9084011316941499,3
ETTh1,random_point,0.1,96,saits,PatchTST,none,0.3959746692224864,0.003388057520007186,0.4135225235417102,0.008736475342159525,0.3901627918690853,3
ETTh1,random_point,0.1,96,saits,iTransformer,none,0.4004337379562862,0.0004262296234737101,0.41895647392809426,0.0021883381003490166,0.5881869861924098,3
ETTh1,random_point,0.1,96,simple,DLinear,linear,0.39202657159683163,0.0024539395668645315,0.40636147424748104,0.0034189897933284267,0.10558072069803624,3
ETTh1,random_point,0.1,96,simple,PatchTST,linear,0.3939256551200083,0.0026845582059881515,0.4089014961325716,0.0022080537428755503,0.10558072069803624,3
ETTh1,random_point,0.1,96,simple,iTransformer,linear,0.39635153298318065,0.004796919443476502,0.41425188857234935,0.003499724438402136,0.10558072069803624,6
ETTh1,random_point,0.1,336,coifnet,iTransformer,none,0.5436302002692582,0.026767617641542403,0.49153759749636744,0.028633474056024656,1.0289098031550508,3
ETTh1,random_point,0.1,336,crib,iTransformer,none,0.5361115468742805,0.0391181996860548,0.5040738950778084,0.013286868762505784,1.0969426114963563,3
ETTh1,random_point,0.1,336,misstsm,iTransformer,none,0.634616120968602,0.026906806658356788,0.5883403126055226,0.012317311454421795,1.0969426114963563,3
ETTh1,random_point,0.1,336,saits,DLinear,none,0.6641640633793539,0.11177580475615084,0.5857531328332448,0.07311617288426286,5.475462104076642,3
ETTh1,random_point,0.1,336,saits,PatchTST,none,0.5591765068368968,0.07965745293790566,0.5106939516898145,0.052057587251754175,1.1774355968620236,3
ETTh1,random_point,0.1,336,saits,iTransformer,none,0.6450944250989913,0.09933180589354065,0.5643403173820131,0.05756308258604857,6.7206918781695215,3
ETTh1,random_point,0.1,336,simple,DLinear,linear,0.4916188616649575,0.003981227740824593,0.4691923559922054,0.005211980597597623,0.10688717086660997,3
ETTh1,random_point,0.1,336,simple,PatchTST,linear,0.4888169534079921,0.023883187924731233,0.4642680623442344,0.009946215210445648,0.10688717086660997,3
ETTh1,random_point,0.1,336,simple,iTransformer,linear,0.4823166972761772,0.0048498217050987405,0.45949125221217474,0.0022201035462129626,0.10688717086660994,3
ETTh1,random_point,0.3,96,baseline,DLinear,none,0.4409948958528748,0.0,0.4460406089385493,0.0,1.1180741101235847,2
ETTh1,random_point,0.3,96,baseline,PatchTST,none,0.49016005620494135,0.0,0.48777208276882206,0.0,1.1180741101235847,1
ETTh1,random_point,0.3,96,baseline,iTransformer,none,0.44859550585652597,0.0,0.46265654640951104,0.0,1.1180741101235847,1
ETTh1,random_point,0.3,96,coifnet,iTransformer,none,0.4076166757293835,0.013604257110035742,0.41998199060211494,0.008056842738081254,0.8649673708946958,4
ETTh1,random_point,0.3,96,crib,iTransformer,none,0.45580684459340903,0.034929200840656156,0.44861703944469183,0.013031458491030604,1.1180837808189774,7
ETTh1,random_point,0.3,96,misstsm,iTransformer,none,0.5104113118353182,0.041195195322571515,0.5101931031901705,0.021279167478796747,1.118084264353747,10
ETTh1,random_point,0.3,96,saits,DLinear,none,0.4995290748627867,0.0415172916553885,0.49863106602683605,0.033960089690388634,0.9995263787959594,3
ETTh1,random_point,0.3,96,saits,PatchTST,none,0.44485068981837256,0.03867020641369622,0.45410686497699704,0.03232184098695696,0.5469258500386825,3
ETTh1,random_point,0.3,96,saits,iTransformer,none,0.4319308104806143,0.008309138582855296,0.44967846834841496,0.009311832964058195,0.7002938630470682,4
ETTh1,random_point,0.3,96,simple,DLinear,linear,0.39945730788489425,0.0011721192771371233,0.4126694377884046,0.002191860875367719,0.1345455922516323,3
ETTh1,random_point,0.3,96,simple,PatchTST,linear,0.40045449379173886,0.0036033727337295863,0.4134163558126423,0.002948196764195386,0.1345455922516323,3
ETTh1,random_point,0.3,96,simple,iTransformer,linear,0.4009918025561742,0.005719503145543283,0.4178082677944405,0.004032191600069212,0.13459234844189052,7
ETTh1,random_point,0.3,336,coifnet,iTransformer,none,0.5113545853090817,0.0176949190907437,0.47956905389971877,0.02204905047530135,0.9714515275243224,3
ETTh1,random_point,0.3,336,crib,iTransformer,none,0.5236233874247912,0.0321963839657797,0.4970040438139291,0.008634594665159706,1.0937446555985135,3
ETTh1,random_point,0.3,336,misstsm,iTransformer,none,0.6376742567201026,0.023313416710353373,0.59319921717116,0.019906655584208344,1.0937446555985137,3
ETTh1,random_point,0.3,336,saits,DLinear,none,0.7322100994707169,0.09144512223950149,0.6392613993646589,0.05811177864922471,2.0624305237018756,3
ETTh1,random_point,0.3,336,saits,PatchTST,none,16301751.70818212,28235460.995456077,1593.5073535245936,2758.968273727147,16607499078.638525,3
ETTh1,random_point,0.3,336,saits,iTransformer,none,0.6864541134337779,0.1292623291301452,0.5995349019668269,0.07671283364414677,2.608686991587291,3
ETTh1,random_point,0.3,336,simple,DLinear,linear,0.49547091835686485,0.004023538478015265,0.4712614992512701,0.0055899200346156185,0.1348737102282461,3
ETTh1,random_point,0.3,336,simple,PatchTST,linear,0.4961104679669753,0.025456165692210268,0.47015857996312943,0.007889831338555042,0.1348737102282461,3
ETTh1,random_point,0.3,336,simple,iTransformer,linear,0.48584294697000213,0.002507394670344027,0.46270401623019536,0.001494076511549563,0.1348737102282461,3
ETTh1,variable_channel,0.3,96,misstsm,iTransformer,none,0.8372947912241869,0.027300600399460518,0.6775906422193859,0.0161883136201623,1.1170076521551586,3
ETTm1,mixed,0.1,96,coifnet,iTransformer,none,0.4463854513689604,0.026028378171561797,0.4340650582300494,0.012008804671789202,1.1377549473685908,6
ETTm1,mixed,0.1,96,crib,iTransformer,none,0.461251523530805,0.015260646418290686,0.44255333815413955,0.0060230683974236065,1.1085768503509328,6
ETTm1,mixed,0.1,96,misstsm,iTransformer,none,0.6009935190993274,0.02478581878188335,0.5416976223515385,0.010181307744715045,1.1085768503509328,6
ETTm1,mixed,0.1,96,saits,iTransformer,none,0.504894473514826,0.15212214861355547,0.46621125400501134,0.06971197999874042,0.8946758158514202,6
ETTm1,mixed,0.1,96,simple,iTransformer,linear,0.45475147161700713,0.014877916090965943,0.4360537455970575,0.006721858407172919,0.7989916353447214,6
ETTm1,mixed,0.1,192,coifnet,iTransformer,none,0.49305880203894414,0.03351486425574743,0.45824894000296496,0.01367090617062561,1.109386662572888,6
ETTm1,mixed,0.1,192,crib,iTransformer,none,0.5073745968846503,0.014122649567185544,0.4666258553927829,0.007185022413116035,1.1104698450050192,6
ETTm1,mixed,0.1,192,misstsm,iTransformer,none,0.6407457084076604,0.03578772152152096,0.5754663667779112,0.021106197422820945,1.1104698450050192,6
ETTm1,mixed,0.1,192,saits,iTransformer,none,0.7504739061416231,0.3870131190559322,0.5640259681773017,0.15961722522857558,1.8137068477680032,6
ETTm1,mixed,0.1,192,simple,iTransformer,linear,0.4836651170599154,0.017249069086909062,0.4542582172308658,0.004547210192809276,0.8004447400962755,6
ETTm1,mixed,0.1,336,coifnet,iTransformer,none,0.5282316528477198,0.033319848011187224,0.47985708302489477,0.019040791844199514,1.1214767132985257,6
ETTm1,mixed,0.1,336,crib,iTransformer,none,0.5261878618840897,0.019743155220935678,0.48247811148053327,0.00829000899266363,1.1098803679103948,6
ETTm1,mixed,0.1,336,misstsm,iTransformer,none,0.6978233245743883,0.044352015242573053,0.6091867244256056,0.027589483187040586,1.1098803679103948,6
ETTm1,mixed,0.1,336,saits,iTransformer,none,6576378.658272088,16108770.800508725,228.6103746752539,558.8093894773682,1310082220.742017,6
ETTm1,mixed,0.1,336,simple,iTransformer,linear,0.522220784423071,0.017027747621615245,0.4761831133789463,0.006510417140039241,0.8001143219702432,6
ETTm1,mixed,0.1,720,coifnet,iTransformer,none,0.593106163382085,0.03228178239148444,0.5198024438972167,0.010661372849166538,1.1661193359156792,6
ETTm1,mixed,0.1,720,crib,iTransformer,none,0.5857123112791105,0.010892752320637177,0.5151268138534673,0.004831122904570064,1.1095790488721484,6
ETTm1,mixed,0.1,720,misstsm,iTransformer,none,0.802491098371026,0.030879497238126392,0.6669047338758078,0.02105396166688122,1.1095790488721484,6
ETTm1,mixed,0.1,720,saits,iTransformer,none,6323.004321195548,14628.376176749296,9.860010767337684,14.951271028660651,33123.84475636185,6
ETTm1,mixed,0.1,720,simple,iTransformer,linear,0.5610245225150156,0.022148101327640668,0.5009964967448708,0.009448160727096092,0.7993198534211592,6
ETTm1,mixed,0.3,96,coifnet,iTransformer,none,0.4560885265758661,0.02781314333596127,0.43786233760726273,0.01490557756475239,1.1513019402680564,6
ETTm1,mixed,0.3,96,crib,iTransformer,none,0.466753200029779,0.020019311366739016,0.4460048892639745,0.01090642405733224,1.1071362088484802,6
ETTm1,mixed,0.3,96,misstsm,iTransformer,none,0.6294179506209712,0.015073669209635274,0.5617505069838921,0.012639890026710315,1.1071362088484802,6
ETTm1,mixed,0.3,96,saits,iTransformer,none,2.373263424875026,4.543401306908935,0.7890507481404243,0.7554859687234189,3.838851899818988,6
ETTm1,mixed,0.3,96,simple,iTransformer,linear,0.4577344930239897,0.013915653562860685,0.4399826042952979,0.004097281219530216,0.5938616988650318,6
ETTm1,mixed,0.3,192,coifnet,iTransformer,none,0.5037476417175629,0.041723651552688285,0.4646003136693717,0.017772770095810315,1.0842282401887393,6
ETTm1,mixed,0.3,192,crib,iTransformer,none,0.5033275231490592,0.018451008685439415,0.46487921998542703,0.007570136929524147,1.109051409481511,6
ETTm1,mixed,0.3,192,misstsm,iTransformer,none,0.6747378191365132,0.04916442468240667,0.5969829270966102,0.027529993232876436,1.109051409481511,6
ETTm1,mixed,0.3,192,saits,iTransformer,none,0.523174222323625,0.11243138245700439,0.48793794365635534,0.048939157949806765,0.755101182668727,6
ETTm1,mixed,0.3,192,simple,iTransformer,linear,0.4930389151847432,0.019570495330485594,0.45868927590551406,0.006735924223172395,0.5949712388194321,6
ETTm1,mixed,0.3,336,coifnet,iTransformer,none,0.5268985363751796,0.03240314324423253,0.4797877659724484,0.014869489116217155,1.0750435267168335,6
ETTm1,mixed,0.3,336,crib,iTransformer,none,0.5359906045890676,0.007865590769428053,0.4869101692535646,0.0036869325263501488,1.1087551508516833,6
ETTm1,mixed,0.3,336,misstsm,iTransformer,none,0.7306191378175511,0.052256059916005564,0.6278336383567767,0.029628653617175416,1.1087551508516833,6
ETTm1,mixed,0.3,336,saits,iTransformer,none,38.567264564586914,93.18785497532156,1.415015338305975,2.265658721427478,272.33260765005207,6
ETTm1,mixed,0.3,336,simple,iTransformer,linear,0.5260895559034943,0.027752989624456333,0.479618731633577,0.0108744824271742,0.5950878683651387,6
ETTm1,mixed,0.3,720,coifnet,iTransformer,none,0.5816154784671804,0.02292199490292937,0.5151700677428169,0.010170925589051989,1.1418390256094535,6
ETTm1,mixed,0.3,720,crib,iTransformer,none,0.5629353814922218,0.024448659385442377,0.5037447924055193,0.011307086706314627,1.1097468269889272,6
ETTm1,mixed,0.3,720,misstsm,iTransformer,none,0.7789925321496513,0.02685566434943841,0.6574335728692916,0.018214541741825945,1.1097468269889275,6
ETTm1,mixed,0.3,720,saits,iTransformer,none,23.460199407459438,55.978248891232,1.2204955936019017,1.653707230655408,81.1895758726253,6
ETTm1,mixed,0.3,720,simple,iTransformer,linear,0.5664489671440326,0.030000254577863303,0.5038264857520772,0.014052335033384352,0.5954897372758606,6
ETTm1,none,0.0,96,baseline,DLinear,none,0.3446880183921601,0.0009583370801111553,0.3726153696652836,0.0018412901293442994,0.0,3
ETTm1,none,0.0,96,baseline,PatchTST,none,0.320485704030915,0.0006499166544998531,0.3594111038732494,0.0021825674272980436,0.0,3
ETTm1,none,0.0,96,baseline,iTransformer,none,0.3437999197642878,0.005462434946004854,0.3741943093345254,0.004596277980443255,0.0,3
ETTm1,none,0.0,336,baseline,DLinear,none,0.41797005781703195,0.0010295536238033919,0.42167225810565245,0.0016467990190387055,0.0,3
ETTm1,none,0.0,336,baseline,PatchTST,none,0.39239136615998166,0.0019211289543637675,0.4071608945982696,0.0006150370786895966,0.0,3
ETTm1,none,0.0,336,baseline,iTransformer,none,0.4314507656384466,0.009218273189273079,0.42409003116640065,0.004085229820505022,0.0,3
ETTm1,variable_channel,0.1,96,coifnet,iTransformer,none,0.4382584452131297,0.01794890838134945,0.4288881551175983,0.011258643528474842,1.1004835587083468,6
ETTm1,variable_channel,0.1,96,crib,iTransformer,none,0.4632084773573277,0.01598878153119278,0.4433734793527382,0.006941889788824907,1.1003524463677563,6
ETTm1,variable_channel,0.1,96,misstsm,iTransformer,none,0.5843123218832357,0.0304785176493469,0.5367879500448226,0.01565436277122229,1.1003524463677563,6
ETTm1,variable_channel,0.1,96,saits,iTransformer,none,5356730186202.202,11443532982180.92,185857.5779596564,321577.4178326314,38371217618216.414,6
ETTm1,variable_channel,0.1,96,simple,iTransformer,linear,0.4402058722486381,0.011578235342149927,0.42992491930092797,0.004170229835058424,1.100352446367756,6
ETTm1,variable_channel,0.1,192,coifnet,iTransformer,none,0.48211213450009766,0.031596174886685854,0.45408737710313046,0.013357122105637916,1.102959060981573,6
ETTm1,variable_channel,0.1,192,crib,iTransformer,none,0.5046178151021695,0.010481109614209656,0.4662715273976105,0.004481717345532681,1.102746501393167,6
ETTm1,variable_channel,0.1,192,misstsm,iTransformer,none,0.6444376232525879,0.0338778074912523,0.5789668458652654,0.025507355656365686,1.102746501393167,6
ETTm1,variable_channel,0.1,192,saits,iTransformer,none,57841328.066204034,92441662.84435838,932.2146361114297,932.9826498728833,419220118.329871,6
ETTm1,variable_channel,0.1,192,simple,iTransformer,linear,0.480465071000985,0.016926802258493193,0.4518261024912616,0.00510366860803119,1.1027465013931672,6
ETTm1,variable_channel,0.1,336,coifnet,iTransformer,none,0.5146533926558946,0.017896106334846517,0.47010795774162834,0.007524360012113145,1.1013510276274396,6
ETTm1,variable_channel,0.1,336,crib,iTransformer,none,0.542217770668704,0.010380606808383198,0.48847809701185446,0.006359611093734232,1.1012004475296209,6
ETTm1,variable_channel,0.1,336,misstsm,iTransformer,none,0.7083203153875969,0.06068896679832734,0.6138433458694597,0.03691393465972218,1.1012004475296209,6
ETTm1,variable_channel,0.1,336,saits,iTransformer,none,6306724151.52338,13813222224.610577,9872.295593590496,19073.379405738502,44798762688.31438,6
ETTm1,variable_channel,0.1,336,simple,iTransformer,linear,0.5160945329167345,0.01006191628319002,0.4736106448655973,0.0038531194691348563,1.1012004475296209,6
ETTm1,variable_channel,0.1,720,coifnet,iTransformer,none,0.5772475960026353,0.02940098132396382,0.5111874434490525,0.009902493736803354,1.1017358869004241,6
ETTm1,variable_channel,0.1,720,crib,iTransformer,none,0.5936480319136122,0.009388980123171716,0.5157870881238057,0.008047270048559707,1.1015784921839042,6
ETTm1,variable_channel,0.1,720,misstsm,iTransformer,none,0.8000404117424003,0.05196825377727141,0.6677919077519313,0.03035804373498108,1.1015784921839042,6
ETTm1,variable_channel,0.1,720,saits,iTransformer,none,253010169151.6677,606798871004.6599,56339.393541391364,121119.21061693085,1818814154507.7598,6
ETTm1,variable_channel,0.1,720,simple,iTransformer,linear,0.555746855781545,0.0166971258453503,0.49798274926851144,0.00836442658367064,1.1015784921839042,6
ETTm1,variable_channel,0.3,96,coifnet,iTransformer,none,0.5463348559590694,0.015066677787081052,0.4872790436184728,0.008020017727722652,1.1105437504080071,6
ETTm1,variable_channel,0.3,96,crib,iTransformer,none,0.5504300815497412,0.008815749327034038,0.4900820384392505,0.004832936059691549,1.1103729155322741,6
ETTm1,variable_channel,0.3,96,misstsm,iTransformer,none,0.6775863107480244,0.0367929249780665,0.5865101287210187,0.022392479408608293,1.1103729155322741,6
ETTm1,variable_channel,0.3,96,saits,iTransformer,none,2972222862439.9355,7280362331718.638,229498.9553077616,558936.2894444994,10508317285193.287,6
ETTm1,variable_channel,0.3,96,simple,iTransformer,linear,0.5495143392775548,0.007989891461210387,0.48909352240294623,0.002655229775327005,1.1103729155322741,6
ETTm1,variable_channel,0.3,192,coifnet,iTransformer,none,0.5846452932790245,0.024290603976559747,0.5083113077109548,0.010556712848953768,1.1121953166575167,6
ETTm1,variable_channel,0.3,192,crib,iTransformer,none,0.578495898598076,0.012052781774924214,0.5062259363820155,0.005465021320145908,1.112005747671662,6
ETTm1,variable_channel,0.3,192,misstsm,iTransformer,none,0.7615003601037964,0.06462937965111266,0.6418948494730727,0.03628901877869642,1.112005747671662,6
ETTm1,variable_channel,0.3,192,saits,iTransformer,none,11474620415.254591,27042083949.297478,26652.647537150693,53012.99135013553,95402374901.96031,6
ETTm1,variable_channel,0.3,192,simple,iTransformer,linear,0.5768946776771657,0.011283785473953143,0.5050214431046788,0.0027582284248902724,1.112005747671662,6
ETTm1,variable_channel,0.3,336,coifnet,iTransformer,none,0.6103076060861682,0.016882364511296544,0.5223877288069175,0.007811462981478089,1.1110100492610784,6
ETTm1,variable_channel,0.3,336,crib,iTransformer,none,0.6091280486718355,0.0035046070493672484,0.5256200217291204,0.002307901594691141,1.1107953979465968,6
ETTm1,variable_channel,0.3,336,misstsm,iTransformer,none,0.8007837916393958,0.0453048946066297,0.6583099066669372,0.02644842613283889,1.110795397946597,6
ETTm1,variable_channel,0.3,336,saits,iTransformer,none,11879968653458.062,18376133533460.31,725064.9215694326,1072389.0138861109,153126308287822.9,6
ETTm1,variable_channel,0.3,336,simple,iTransformer,linear,0.610065833560544,0.012530526767625916,0.5246516647077392,0.004512525414541159,1.110795397946597,6
ETTm1,variable_channel,0.3,720,coifnet,iTransformer,none,0.653133573824361,0.018813103519236863,0.5533668305981813,0.008645890892235452,1.1112742081739333,6
ETTm1,variable_channel,0.3,720,crib,iTransformer,none,0.6449120760265664,0.017349212469502374,0.5478576968394102,0.0060565247922399765,1.111022961870688,6
ETTm1,variable_channel,0.3,720,misstsm,iTransformer,none,0.908381001521006,0.05842148241379613,0.7221508732483063,0.030224023377905272,1.111022961870688,6
ETTm1,variable_channel,0.3,720,saits,iTransformer,none,4615947579110125.0,1.1306709084926178e+16,13091881.722244719,32055896.736045375,1.6474017045153938e+16,6
ETTm1,variable_channel,0.3,720,simple,iTransformer,linear,0.643900836547488,0.016049112422456477,0.5458201322386899,0.0070312034670842,1.1110229618706882,6
